metric,value,numerator,denominator,percentage,measurable,notes,scope
hit_rate_at_1,0.7023809523809523,59,84,70.23809523809523,True,,overall
hit_rate_at_8,0.8809523809523809,74,84,88.09523809523809,True,,overall
mrr,0.7654903628117913,,84,,True,,overall
page_exact,0.6071428571428571,51,84,60.71428571428571,True,,overall
page_tolerance_1,0.6547619047619048,55,84,65.47619047619048,True,,overall
page_evidence_valid_llm,0.0,0,84,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,overall
citation_document_present,0.9047619047619048,76,84,90.47619047619048,True,,overall
citation_document_correct,0.0,0,84,0.0,True,,overall
citation_page_present,0.9047619047619048,76,84,90.47619047619048,True,,overall
citation_page_exact,0.0,0,84,0.0,True,,overall
citation_page_evidence_valid_llm,0.0,0,84,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,overall
factual_correct,,,0,,False,,overall
mean_completeness,,,0,,False,,overall
mean_faithfulness,,,0,,False,,overall
mean_relevance,,,0,,False,,overall
fully_correct,0.0,0,84,0.0,True,,overall
correct_refusal,1.0,16,16,100.0,True,,overall
improper_refusal,0.09523809523809523,8,84,9.523809523809524,True,,overall
improper_answer,0.0,0,16,0.0,True,,overall
empty_answer,0.0,0,100,0.0,True,,overall
errors,0.0,0,100,0.0,True,,overall
timeouts,0.0,0,100,0.0,True,,overall
manual_review_required,0.84,84,100,84.0,True,,overall
latency_total_ms_mean,3103.18,,100,,True,,overall
latency_total_ms_median,3148.0,,100,,True,,overall
latency_total_ms_minimum,777.0,,100,,True,,overall
latency_total_ms_maximum,12373.0,,100,,True,,overall
latency_total_ms_standard_deviation,1593.2423944899283,,100,,True,,overall
latency_total_ms_p95,5078.0,,100,,True,,overall
latency_total_ms_p99,7169.0,,100,,True,,overall
latency_retrieval_ms_mean,12.87,,100,,True,,overall
latency_retrieval_ms_median,13.0,,100,,True,,overall
latency_retrieval_ms_minimum,12.0,,100,,True,,overall
latency_retrieval_ms_maximum,15.0,,100,,True,,overall
latency_retrieval_ms_standard_deviation,0.5030904491242106,,100,,True,,overall
latency_retrieval_ms_p95,13.0,,100,,True,,overall
latency_retrieval_ms_p99,14.0,,100,,True,,overall
latency_generation_ms_mean,2565.13,,100,,True,,overall
latency_generation_ms_median,2570.5,,100,,True,,overall
latency_generation_ms_minimum,672.0,,100,,True,,overall
latency_generation_ms_maximum,11584.0,,100,,True,,overall
latency_generation_ms_standard_deviation,1519.8197962587537,,100,,True,,overall
latency_generation_ms_p95,4462.0,,100,,True,,overall
latency_generation_ms_p99,6570.0,,100,,True,,overall
hit_rate_at_1,0.7619047619047619,32,42,76.19047619047619,True,,development
hit_rate_at_8,0.9285714285714286,39,42,92.85714285714286,True,,development
mrr,0.8184523809523809,,42,,True,,development
page_exact,0.7142857142857143,30,42,71.42857142857143,True,,development
page_tolerance_1,0.7857142857142857,33,42,78.57142857142857,True,,development
page_evidence_valid_llm,0.0,0,42,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,development
citation_document_present,1.0,42,42,100.0,True,,development
citation_document_correct,0.0,0,42,0.0,True,,development
citation_page_present,1.0,42,42,100.0,True,,development
citation_page_exact,0.0,0,42,0.0,True,,development
citation_page_evidence_valid_llm,0.0,0,42,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,development
factual_correct,,,0,,False,,development
mean_completeness,,,0,,False,,development
mean_faithfulness,,,0,,False,,development
mean_relevance,,,0,,False,,development
fully_correct,0.0,0,42,0.0,True,,development
correct_refusal,1.0,8,8,100.0,True,,development
improper_refusal,0.0,0,42,0.0,True,,development
improper_answer,0.0,0,8,0.0,True,,development
empty_answer,0.0,0,50,0.0,True,,development
errors,0.0,0,50,0.0,True,,development
timeouts,0.0,0,50,0.0,True,,development
manual_review_required,0.84,42,50,84.0,True,,development
latency_total_ms_mean,3101.8,,50,,True,,development
latency_total_ms_median,3148.0,,50,,True,,development
latency_total_ms_minimum,894.0,,50,,True,,development
latency_total_ms_maximum,7023.0,,50,,True,,development
latency_total_ms_standard_deviation,1226.731021862576,,50,,True,,development
latency_total_ms_p95,5078.0,,50,,True,,development
latency_total_ms_p99,7023.0,,50,,True,,development
latency_retrieval_ms_mean,12.84,,50,,True,,development
latency_retrieval_ms_median,13.0,,50,,True,,development
latency_retrieval_ms_minimum,12.0,,50,,True,,development
latency_retrieval_ms_maximum,15.0,,50,,True,,development
latency_retrieval_ms_standard_deviation,0.6118823416311342,,50,,True,,development
latency_retrieval_ms_p95,14.0,,50,,True,,development
latency_retrieval_ms_p99,15.0,,50,,True,,development
latency_generation_ms_mean,2568.68,,50,,True,,development
latency_generation_ms_median,2550.0,,50,,True,,development
latency_generation_ms_minimum,685.0,,50,,True,,development
latency_generation_ms_maximum,6341.0,,50,,True,,development
latency_generation_ms_standard_deviation,1136.7727026983011,,50,,True,,development
latency_generation_ms_p95,4447.0,,50,,True,,development
latency_generation_ms_p99,6341.0,,50,,True,,development
hit_rate_at_1,0.6428571428571429,27,42,64.28571428571429,True,,final
hit_rate_at_8,0.8333333333333334,35,42,83.33333333333334,True,,final
mrr,0.7125283446712019,,42,,True,,final
page_exact,0.5,21,42,50.0,True,,final
page_tolerance_1,0.5238095238095238,22,42,52.38095238095239,True,,final
page_evidence_valid_llm,0.0,0,42,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,final
citation_document_present,0.8095238095238095,34,42,80.95238095238095,True,,final
citation_document_correct,0.0,0,42,0.0,True,,final
citation_page_present,0.8095238095238095,34,42,80.95238095238095,True,,final
citation_page_exact,0.0,0,42,0.0,True,,final
citation_page_evidence_valid_llm,0.0,0,42,0.0,True,Critério assistido por juiz LLM; revisar casos marcados.,final
factual_correct,,,0,,False,,final
mean_completeness,,,0,,False,,final
mean_faithfulness,,,0,,False,,final
mean_relevance,,,0,,False,,final
fully_correct,0.0,0,42,0.0,True,,final
correct_refusal,1.0,8,8,100.0,True,,final
improper_refusal,0.19047619047619047,8,42,19.047619047619047,True,,final
improper_answer,0.0,0,8,0.0,True,,final
empty_answer,0.0,0,50,0.0,True,,final
errors,0.0,0,50,0.0,True,,final
timeouts,0.0,0,50,0.0,True,,final
manual_review_required,0.84,42,50,84.0,True,,final
latency_total_ms_mean,3104.56,,50,,True,,final
latency_total_ms_median,3148.0,,50,,True,,final
latency_total_ms_minimum,777.0,,50,,True,,final
latency_total_ms_maximum,12373.0,,50,,True,,final
latency_total_ms_standard_deviation,1889.9655675170382,,50,,True,,final
latency_total_ms_p95,5261.0,,50,,True,,final
latency_total_ms_p99,12373.0,,50,,True,,final
latency_retrieval_ms_mean,12.9,,50,,True,,final
latency_retrieval_ms_median,13.0,,50,,True,,final
